datum,Bedrag1,Bedrag,Aantal_donaties,Eerste donatie,Terugkerende donatie
1-6-2020,42,420,12,180,240
1-13-2020,146,1460,7,0,1460
1-20-2020,78,780,13,90,690
1-27-2020,112,1120,12,0,1120
2-3-2020,120,1200,13,1020,180
2-10-2020,24,240,5,0,240
2-17-2020,163,1630,13,0,1630
2-24-2020,97,970,21,970,0
3-2-2020,36,360,1,360,0
3-9-2020,165,1650,9,0,1650
3-16-2020,229,2290,19,0,2290
3-23-2020,195,1950,30,0,1950
3-30-2020,104,1040,7,150,890
4-6-2020,327,3270,26,870,2400
4-13-2020,233,2330,20,1980,350
4-20-2020,69,690,11,0,690
4-27-2020,187,1870,11,330,1540
5-4-2020,203,2030,19,690,1340
5-11-2020,123,1230,22,450,780
5-18-2020,321,3210,33,2160,1050
5-25-2020,110,1100,13,920,180
6-1-2020,216,2160,16,1410,750
6-8-2020,56,560,8,0,560
6-15-2020,333,3330,20,810,2520
6-22-2020,107,1070,3,0,1070
6-29-2020,47,470,10,0,470
7-6-2020,199,1990,29,1010,980
7-13-2020,149,1490,7,0,1490
7-20-2020,121,1210,11,1210,0
7-27-2020,149,1490,16,560,930
8-3-2020,145,1450,5,0,1450
8-10-2020,55,550,9,0,550
8-17-2020,186,1860,3,0,1860
8-24-2020,135,1350,7,0,1350
8-31-2020,0,0,0,0,0
9-7-2020,0,0,0,0,0
9-14-2020,264,2640,17,1370,1270
9-21-2020,161,1610,10,90,1520
9-28-2020,48,480,7,0,480
10-5-2020,71,710,9,120,590
10-12-2020,214,2140,29,250,1890
10-19-2020,276,2760,49,290,2470
10-26-2020,241,2410,34,0,2410
11-2-2020,296,2960,31,1160,1800
11-9-2020,236,2360,34,0,2360
11-16-2020,86,860,13,0,860
11-23-2020,226,2260,20,1330,930
11-30-2020,34,340,6,0,340
12-7-2020,262,2620,23,360,2260
12-14-2020,152,1520,16,0,1520
12-21-2020,435,4350,16,1930,2420
12-28-2020,255,2550,18,130,2420
1-4-2021,349,3490,18,2530,960
1-11-2021,81,810,13,0,810
1-18-2021,200,2000,17,570,1430
1-25-2021,253,2530,18,2530,0
2-1-2021,160,1600,19,1600,0
2-8-2021,399,3990,22,2470,1520
